,#source,ID,description
265594,bigg.metabolite:u3aga,MNXM1107760,UDP-3-O-(3-hydroxytetradecanoyl)-N-acetylglucosamine
265621,bigg.metabolite:u3hga,MNXM1107764,UDP-3-O-(3-hydroxytetradecanoyl)-D-glucosamine
265682,bigg.metabolite:his__L,MNXM1107769,L-Histidine
266011,bigg.metabolite:6pgg,MNXM1107797,"6-Phospho-beta-D-glucosyl-(1,4)-D-glucose"
266077,bigg.metabolite:fe3dcit,MNXM1107801,Fe(III)dicitrate
266171,bigg.metabolite:asn__L,MNXM1107821,L-Asparagine
266585,bigg.metabolite:murein4px4px4p,MNXM1107894,Three disacharide linked murein units (tetrapeptide crosslinked tetrapeptide (A2pm->D-ala) & tetrapeptide corsslinked tetrapeptide (A2pm->D-ala)) (middle of chain)
266617,bigg.metabolite:f6p,MNXM1107898,D-Fructose 6-phosphate
266671,bigg.metabolite:hdcea,MNXM1107900,Hexadecenoate (n-C16:1)
266709,bigg.metabolite:no,MNXM1107902,Nitric oxide
266741,bigg.metabolite:mmcoa__S,MNXM1107904,(S)-Methylmalonyl-CoA
266786,bigg.metabolite:o2s,MNXM1107906,Superoxide anion
267074,bigg.metabolite:dhpmp,MNXM1107940,Dihydroneopterin monophosphate
267136,bigg.metabolite:adphep_DD,MNXM1107947,ADP-D-glycero-D-manno-heptose
267198,bigg.metabolite:gmhep1p,MNXM1107954,D-Glycero-D-manno-heptose 1-phosphate
267370,bigg.metabolite:hkndd,MNXM1107974,"2-Hydroxy-6-oxonona-2,4-diene-1,9-dioate"
267429,bigg.metabolite:ttdcea,MNXM1107981,Tetradecenoate (n-C14:1)
267579,bigg.metabolite:3hcinnm,MNXM1107995,3-hydroxycinnamic acid
267695,bigg.metabolite:nicrnt,MNXM1108016,Nicotinate D-ribonucleotide
267731,bigg.metabolite:h2,MNXM1108018,Hydrogen
267969,bigg.metabolite:rib__D,MNXM1108051,D-Ribose
268022,bigg.metabolite:dhptd,MNXM1108056,"4,5-dihydroxy-2,3-pentanedione"
268252,bigg.metabolite:13dpg,MNXM1108073,3-Phospho-D-glyceroyl phosphate
268388,bigg.metabolite:etoh,MNXM1108092,Ethanol
268659,bigg.metabolite:ppp9,MNXM1108136,Protoporphyrin
268691,bigg.metabolite:2dr1p,MNXM1108138,2-Deoxy-D-ribose 1-phosphate
268947,bigg.metabolite:gal,MNXM1108175,D-Galactose
269224,bigg.metabolite:asp__L,MNXM1108206,L-Aspartate
269827,bigg.metabolite:3sala,MNXM1108289,3-Sulfino-L-alanine
271409,bigg.metabolite:adphep_LD,MNXM1108522,ADP-L-glycero-D-manno-heptose
302341,bigg.metabolite:gal_bD,MNXM112,Beta D-Galactose
344725,bigg.metabolite:pro__L,MNXM114,L-Proline
344780,bigg.metabolite:dann,MNXM1140,"7,8-Diaminononanoate"
344947,bigg.metabolite:2aobut,MNXM114087,L-2-Amino-3-oxobutanoate
348215,bigg.metabolite:sucorn,MNXM1152,N2-Succinyl-L-ornithine
