,Source,BiGG,MNXM,Stuff,Unnamed: 4
3544,bigg.metabolite:,succoa,MNXM1104774,Succinyl-CoA,
3548,bigg.metabolite:,od2coa,MNXM1104783,Trans-Octadec-2-enoyl-CoA,
3557,bigg.metabolite:,ump,MNXM1104823,UMP,
3562,bigg.metabolite:,sheme,MNXM1104857,Siroheme,
3566,bigg.metabolite:,adocbip,MNXM1104880,Adenosylcobinamidephosphate,
3569,bigg.metabolite:,udpglcur,MNXM1104890,UDP-D-glucuronate,
3570,bigg.metabolite:,4ahmmp,MNXM1104899,4-Amino-5-hydroxymethyl-2-methylpyrimidine,
3579,bigg.metabolite:,gam1p,MNXM1104944,D-Glucosamine1-phosphate,
3591,bigg.metabolite:,glc__D,MNXM1105029,D-Glucose,
3617,bigg.metabolite:,ala__D,MNXM1105731,D-Alanine,
3618,bigg.metabolite:,ala__L,MNXM1105732,L-Alanine,
3620,bigg.metabolite:,crn,MNXM1105737,L-Carnitine,
3622,bigg.metabolite:,uacmamu,MNXM1105744,UDP-N-acetyl-D-mannosaminouronate,
3625,bigg.metabolite:,adn,MNXM1105760,Adenosine,
3626,bigg.metabolite:,fadh2,MNXM1105762,Flavinadeninedinucleotidereduced,
3627,bigg.metabolite:,glcur,MNXM1105765,D-Glucuronate,
3635,bigg.metabolite:,acgal1p,MNXM1105799,N-Acetyl-D-galactosamine1-phosphate,
3640,bigg.metabolite:,man,MNXM1105842,D-Mannose,
3645,bigg.metabolite:,g6p,MNXM1105858,D-Glucose6-phosphate,
3653,bigg.metabolite:,3hbcoa,MNXM1105912,(S)-3-Hydroxybutanoyl-CoA,
3657,bigg.metabolite:,acgal,MNXM1105933,N-Acetyl-D-galactosamine,
3658,bigg.metabolite:,acgam,MNXM1105935,N-Acetyl-D-glucosamine,
3660,bigg.metabolite:,oxadpcoa,MNXM1105939,3-Oxoadipyl-CoA,
3661,bigg.metabolite:,inost,MNXM1105941,Myo-Inositol,
3664,bigg.metabolite:,dtdpglu,MNXM1105949,DTDPglucose,
3670,bigg.metabolite:,urate,MNXM1105965,Urate,
3671,bigg.metabolite:,adpglc,MNXM1105977,ADPglucose,
3680,bigg.metabolite:,aact,MNXM1106,Aminoacetone,
3681,bigg.metabolite:,malt,MNXM1106000,Maltose,
3682,bigg.metabolite:,gdpfuc,MNXM1106003,GDP-L-fucose,
3684,bigg.metabolite:,HC01415,MNXM1106007,(2E)-OctenoylCoenzymeA,
3685,bigg.metabolite:,c81coa,MNXM1106007,OctenoylCoenzymeA,
3686,bigg.metabolite:,oc2coa,MNXM1106007,Trans-Oct-2-enoyl-CoA,
3688,bigg.metabolite:,tre,MNXM1106022,Trehalose,
3693,bigg.metabolite:,metox,MNXM1106044,LMethionineSoxide,
3697,bigg.metabolite:,man1p,MNXM1106057,D-Mannose1-phosphate,
3700,bigg.metabolite:,g1p,MNXM1106065,D-Glucose1-phosphate,
3702,bigg.metabolite:,gal1p,MNXM1106067,Alpha-D-Galactose1-phosphate,
3708,bigg.metabolite:,malcoa,MNXM1106093,MalonylCoA,
3710,bigg.metabolite:,inoshp,MNXM1106105,MyoInositolhexakisphosphate,
3711,bigg.metabolite:,minohp,MNXM1106105,Myo-Inositolhexakisphosphate,
3712,bigg.metabolite:,dtdprmn,MNXM1106112,DTDP-L-rhamnose,
3721,bigg.metabolite:,ppcoa,MNXM1106156,Propanoyl-CoA,
3724,bigg.metabolite:,pmtcoa,MNXM1106160,Palmitoyl-CoA(n-C16:0CoA),
3725,bigg.metabolite:,lys__L,MNXM1106164,L-Lysine,
3726,bigg.metabolite:,3hhdcoa,MNXM1106166,(S)-3-Hydroxyhexadecanoyl-CoA,
3727,bigg.metabolite:,HC01397,MNXM1106166,3S-HydroxyhexadecanoylCoenzymeA,
3750,bigg.metabolite:,mal__L,MNXM1107192,L-Malate,
3757,bigg.metabolite:,uamr,MNXM1107410,UDP-N-acetylmuramate,
3762,bigg.metabolite:,fmnh2,MNXM1107623,ReducedFMN,
3772,bigg.metabolite:,galct__D,MNXM1107694,D-Galactarate,
3773,bigg.metabolite:,galctr__D,MNXM1107694,DGalactarate,
3774,bigg.metabolite:,glcr,MNXM1107695,D-Glucarate,
3777,bigg.metabolite:,ocdcea,MNXM1107708,Octadecenoate(n-C18:1),
3782,bigg.metabolite:,hemeO,MNXM1107744,HemeO,
3783,bigg.metabolite:,cit,MNXM1107753,Citrate,
3787,bigg.metabolite:,u3hga,MNXM1107764,UDP-3-O-(3-hydroxytetradecanoyl)-D-glucosamine,
3788,bigg.metabolite:,u3hga_HP,MNXM1107764,UDP-3-O(3-hydroxypalmetoyl)-D-glucosamine,
3790,bigg.metabolite:,his__L,MNXM1107769,L-Histidine,
3798,bigg.metabolite:,asn__L,MNXM1107821,L-Asparagine,
3802,bigg.metabolite:,f6p,MNXM1107898,D-Fructose6-phosphate,
3804,bigg.metabolite:,no,MNXM1107902,Nitricoxide,
3805,bigg.metabolite:,mmcoa__S,MNXM1107904,(S)-Methylmalonyl-CoA,
3810,bigg.metabolite:,HC00664,MNXM1107945,D-tagatofuranose6-phosphate(2-),
3811,bigg.metabolite:,adphep_DD,MNXM1107947,ADP-D-glycero-D-manno-heptose,
3819,bigg.metabolite:,3hcinnm,MNXM1107995,3-hydroxycinnamicacid,
3822,bigg.metabolite:,nicrnt,MNXM1108016,NicotinateD-ribonucleotide,
3823,bigg.metabolite:,h2,MNXM1108018,Hydrogen,
3825,bigg.metabolite:,rib__D,MNXM1108051,D-Ribose,
3832,bigg.metabolite:,13dpg,MNXM1108073,3-Phospho-D-glyceroylphosphate,
3833,bigg.metabolite:,etoh,MNXM1108092,Ethanol,
3834,bigg.metabolite:,ppp9,MNXM1108136,Protoporphyrin,
3835,bigg.metabolite:,2dr1p,MNXM1108138,2-Deoxy-D-ribose1-phosphate,
3836,bigg.metabolite:,gal,MNXM1108175,D-Galactose,
3838,bigg.metabolite:,asp__L,MNXM1108206,L-Aspartate,
3842,bigg.metabolite:,3sala,MNXM1108289,3-Sulfino-L-alanine,
3855,bigg.metabolite:,adphep_LD,MNXM1108522,ADP-L-glycero-D-manno-heptose,
3865,bigg.metabolite:,gal_bD,MNXM112,BetaD-Galactose,
3879,bigg.metabolite:,pro__L,MNXM114,L-Proline,
3882,bigg.metabolite:,2aobut,MNXM114087,L-2-Amino-3-oxobutanoate,
3905,bigg.metabolite:,sucorn,MNXM1152,N2-Succinyl-L-ornithine,
3910,bigg.metabolite:,slnt,MNXM1157,Selenite,
3920,bigg.metabolite:,2mecdp,MNXM1168,"2-C-methyl-D-erythritol2,4-cyclodiphosphate",
3923,bigg.metabolite:,urea,MNXM117,Urea,
3924,bigg.metabolite:,3dhgulnp,MNXM1170,3-keto-L-gulonate-6-phosphate,
3955,bigg.metabolite:,4pasp,MNXM1177,4-Phospho-L-aspartate,
3966,bigg.metabolite:,5aprbu,MNXM1178,5-Amino-6-(5'-phosphoribitylamino)uracil,
3982,bigg.metabolite:,ptrc,MNXM118,Putrescine,
3988,bigg.metabolite:,ara5p,MNXM1184,D-Arabinose5-phosphate,
3999,bigg.metabolite:,ppgpp,MNXM1189,"Guanosine3',5'-bis(diphosphate)",
4002,bigg.metabolite:,mpt,MNXM1193,Molybdopterin,
4081,bigg.metabolite:,23dhmp,MNXM1202,"(R)-2,3-Dihydroxy-3-methylpentanoate",
4089,bigg.metabolite:,sucbz,MNXM1212,O-Succinylbenzoate,
4092,bigg.metabolite:,mercppyr,MNXM1214,Mercaptopyruvate,
4095,bigg.metabolite:,2dda7p,MNXM1219,2-Dehydro-3-deoxy-D-arabino-heptonate7-phosphate,
