,Source,BiGG,MNXM,Stuff,Unnamed: 4
8599,bigg.metabolite:,dhap,MNXM77,Dihydroxyacetonephosphate,
8640,bigg.metabolite:,tartr__D,MNXM7948,D-tartrate,
8644,bigg.metabolite:,ichor,MNXM799,Isochorismate,
8645,bigg.metabolite:,nad,MNXM8,Nicotinamideadeninedinucleotide,
8651,bigg.metabolite:,23dhdp,MNXM807,"2,3-Dihydrodipicolinate",
8652,bigg.metabolite:,ragund,MNXM80754,Rhamanosyl-N-acetylglucosamyl-undecaprenyldiphosphate,
8655,bigg.metabolite:,octdp,MNXM811,All-trans-Octaprenyldiphosphate,
8664,bigg.metabolite:,acorn,MNXM817,N2-Acetyl-L-ornithine,
8667,bigg.metabolite:,suchms,MNXM820,O-Succinyl-L-homoserine,
8669,bigg.metabolite:,ppal,MNXM821,Propanal,
8673,bigg.metabolite:,dhpppn,MNXM826,"3-(2,3-Dihydroxyphenyl)propanoate",
8677,bigg.metabolite:,4crsol,MNXM828,P-Cresol,
8678,bigg.metabolite:,pcresol,MNXM828,P-Cresol,
8683,bigg.metabolite:,ipdp,MNXM83,Isopentenyldiphosphate,
8724,bigg.metabolite:,5d4dglcr,MNXM854,5Dehydro4deoxyDglucarate,
8725,bigg.metabolite:,5dh4dglc,MNXM854,5-Dehydro-4-deoxy-D-glucarate,
8765,bigg.metabolite:,3hpp,MNXM872,3-Hydroxypropanoate,
8804,bigg.metabolite:,enter,MNXM883,Enterochelin,
8828,bigg.metabolite:,glyc,MNXM89612,Glycerol,
8829,bigg.metabolite:,icit,MNXM89661,Isocitrate,
8835,bigg.metabolite:,pi,MNXM9,Phosphate,
8836,bigg.metabolite:,chol,MNXM90,Choline,
8837,bigg.metabolite:,ru5p__L,MNXM901,L-Ribulose5-phosphate,
8838,bigg.metabolite:,mnl1p,MNXM90126,D-Mannitol1-phosphate,
8840,bigg.metabolite:,2dh3dgal6p,MNXM90136,2-Dehydro-3-deoxy-D-galactonate6-phosphate,
8843,bigg.metabolite:,12ppd__R,MNXM90191,"(R)-Propane-1,2-diol",
8851,bigg.metabolite:,2ombzl,MNXM90444,"2-Octaprenyl-6-methoxy-1,4-benzoquinol",
8890,bigg.metabolite:,lald__D,MNXM909,D-Lactaldehyde,
8894,bigg.metabolite:,cobalt2,MNXM90960,Co2+,
8998,bigg.metabolite:,cysi__L,MNXM927,LCystine,
9005,bigg.metabolite:,din,MNXM935,Deoxyinosine,
9006,bigg.metabolite:,25dkglcn,MNXM936,"2,5-diketo-D-gluconate",
9013,bigg.metabolite:,mdhdhf,MNXM9407,"(2R,4S)-2-methyl-2,4-dihydroxydihydrofuran-3-one",
9015,bigg.metabolite:,15dap,MNXM943,"1,5-Diaminopentane",
9039,bigg.metabolite:,k,MNXM95,Potassium,
9045,bigg.metabolite:,2dhp,MNXM959,2-Dehydropantoate,
9048,bigg.metabolite:,4mpetz,MNXM960,4-Methyl-5-(2-phosphoethyl)-thiazole,
9051,bigg.metabolite:,4mhetz,MNXM962,4-Methyl-5-(2-hydroxyethyl)-thiazole,
9052,bigg.metabolite:,5dglcn,MNXM963,5-Dehydro-D-gluconate,
9059,bigg.metabolite:,aso4,MNXM970,Arsenate,
9071,bigg.metabolite:,ttrcyc,MNXM97613,Tetracycline,
9086,bigg.metabolite:,h2o,WATER,H2O,
