BiGG,BiGG_target
M_prpp_c,M_pran_c
M_h2o_c,M_ac_c
M_h2o_c,M_co2_c
M_h2o_c,M_q8h2_c
M_pyr_c,M_ac_c
M_pyr_c,M_co2_c
M_pyr_c,M_q8h2_c
M_q8_c,M_ac_c
M_q8_c,M_co2_c
M_q8_c,M_q8h2_c
M_chor_c,M_pphn_c
M_accoa_c,M_actp_c
M_accoa_c,M_coa_c
M_pi_c,M_actp_c
M_pi_c,M_coa_c
M_3psme_c,M_chor_c
M_3psme_c,M_pi_c
M_2cpr5p_c,M_3ig3p_c
M_2cpr5p_c,M_co2_c
M_2cpr5p_c,M_h2o_c
M_h_c,M_3ig3p_c
M_h_c,M_co2_c
M_h_c,M_h2o_c
M_ac_c,M_actp_c
M_ac_c,M_adp_c
M_atp_c,M_actp_c
M_atp_c,M_adp_c
M_4mop_c,M_akg_c
M_4mop_c,M_leu__L_c
M_glu__L_c,M_akg_c
M_glu__L_c,M_leu__L_c
M_dmpp_c,M_grdp_c
M_dmpp_c,M_ppi_c
M_ipdp_c,M_grdp_c
M_ipdp_c,M_ppi_c
M_grdp_c,M_frdp_c
M_grdp_c,M_ppi_c
M_ipdp_c,M_frdp_c
M_ipdp_c,M_ppi_c
M_hmbil_c,M_h2o_c
M_hmbil_c,M_uppg3_c
M_h_c,M_co2_c
M_h_c,M_cpppg3_c
M_uppg3_c,M_co2_c
M_uppg3_c,M_cpppg3_c
M_pi_c,M_2dr1p_c
M_pi_c,M_thym_c
M_thymd_c,M_2dr1p_c
M_thymd_c,M_thym_c
M_ckdo_c,M_cmp_c
M_ckdo_c,M_h_c
M_ckdo_c,M_kdolipid4_c
M_lipidA_c,M_cmp_c
M_lipidA_c,M_h_c
M_lipidA_c,M_kdolipid4_c
M_frdp_c,M_ppi_c
M_frdp_c,M_udcpdp_c
M_ipdp_c,M_ppi_c
M_ipdp_c,M_udcpdp_c
M_3htdcoa_c,M_h2o_c
M_3htdcoa_c,M_td2coa_c
M_h2o_c,M_h_c
M_h2o_c,M_lipidX_c
M_h2o_c,M_ump_c
M_u23ga_c,M_h_c
M_u23ga_c,M_lipidX_c
M_u23ga_c,M_ump_c
M_2pg_c,M_h2o_c
M_2pg_c,M_pep_c
M_fdp_c,M_dhap_c
M_fdp_c,M_g3p_c
M_co2_c,M_h_c
M_co2_c,M_hco3_c
M_h2o_c,M_h_c
M_h2o_c,M_hco3_c
M_dhap_c,M_mthgxl_c
M_dhap_c,M_pi_c
M_h2o_c,M_fprica_c
M_imp_c,M_fprica_c
M_h2o_c,M_h_c
M_h2o_c,M_nadh_c
M_h2o_c,M_xmp_c
M_imp_c,M_h_c
M_imp_c,M_nadh_c
M_imp_c,M_xmp_c
M_nad_c,M_h_c
M_nad_c,M_nadh_c
M_nad_c,M_xmp_c
M_atp_c,M_amp_c
M_atp_c,M_h_c
M_atp_c,M_pep_c
M_atp_c,M_pi_c
M_h2o_c,M_amp_c
M_h2o_c,M_h_c
M_h2o_c,M_pep_c
M_h2o_c,M_pi_c
M_pyr_c,M_amp_c
M_pyr_c,M_h_c
M_pyr_c,M_pep_c
M_pyr_c,M_pi_c
M_3hdcoa_c,M_dc2coa_c
M_3hdcoa_c,M_h2o_c
M_lipidX_c,M_h_c
M_lipidX_c,M_lipidAds_c
M_lipidX_c,M_udp_c
M_u23ga_c,M_h_c
M_u23ga_c,M_lipidAds_c
M_u23ga_c,M_udp_c
M_atp_c,M_amp_c
M_atp_c,M_glutrna_c
M_atp_c,M_ppi_c
M_glu__L_c,M_amp_c
M_glu__L_c,M_glutrna_c
M_glu__L_c,M_ppi_c
M_trnaglu_c,M_amp_c
M_trnaglu_c,M_glutrna_c
M_trnaglu_c,M_ppi_c
M_atp_c,M_adp_c
M_atp_c,M_h_c
M_atp_c,M_lipidA_c
M_lipidAds_c,M_adp_c
M_lipidAds_c,M_h_c
M_lipidAds_c,M_lipidA_c
M_g6p_c,M_f6p_c
M_2mahmp_c,M_ppi_c
M_2mahmp_c,M_thmmp_c
M_4mpetz_c,M_ppi_c
M_4mpetz_c,M_thmmp_c
M_h_c,M_ppi_c
M_h_c,M_thmmp_c
M_3pg_c,M_13dpg_c
M_3pg_c,M_adp_c
M_atp_c,M_13dpg_c
M_atp_c,M_adp_c
M_2ddg6p_c,M_g3p_c
M_2ddg6p_c,M_pyr_c
M_dgtp_c,M_dgmp_c
M_dgtp_c,M_h_c
M_dgtp_c,M_ppi_c
M_h2o_c,M_dgmp_c
M_h2o_c,M_h_c
M_h2o_c,M_ppi_c
M_atp_c,M_adp_c
M_atp_c,M_h_c
M_atp_c,M_ump_c
M_uri_c,M_adp_c
M_uri_c,M_h_c
M_uri_c,M_ump_c
M_gtp_c,M_gdp_c
M_gtp_c,M_h_c
M_gtp_c,M_ump_c
M_uri_c,M_gdp_c
M_uri_c,M_h_c
M_uri_c,M_ump_c
M_gtp_c,M_gmp_c
M_gtp_c,M_h_c
M_gtp_c,M_ppi_c
M_h2o_c,M_gmp_c
M_h2o_c,M_h_c
M_h2o_c,M_ppi_c
M_6pgl_c,M_6pgc_c
M_6pgl_c,M_h_c
M_h2o_c,M_6pgc_c
M_h2o_c,M_h_c
M_dgtp_c,M_dgsn_c
M_dgtp_c,M_pppi_c
M_h2o_c,M_dgsn_c
M_h2o_c,M_pppi_c
M_gtp_c,M_gsn_c
M_gtp_c,M_pppi_c
M_h2o_c,M_gsn_c
M_h2o_c,M_pppi_c
M_atp_c,M_adp_c
M_atp_c,M_cmp_c
M_atp_c,M_h_c
M_cytd_c,M_adp_c
M_cytd_c,M_cmp_c
M_cytd_c,M_h_c
M_ru5p__D_c,M_xu5p__D_c
M_3dhq_c,M_3dhsk_c
M_3dhq_c,M_h2o_c
M_3c2hmp_c,M_3c4mop_c
M_3c2hmp_c,M_h_c
M_3c2hmp_c,M_nadh_c
M_nad_c,M_3c4mop_c
M_nad_c,M_h_c
M_nad_c,M_nadh_c
M_5aizc_c,M_5caiz_c
M_g3p_c,M_e4p_c
M_g3p_c,M_f6p_c
M_s7p_c,M_e4p_c
M_s7p_c,M_f6p_c
M_adn_c,M_ade_c
M_adn_c,M_r1p_c
M_pi_c,M_ade_c
M_pi_c,M_r1p_c
M_dad_2_c,M_2dr1p_c
M_dad_2_c,M_ade_c
M_pi_c,M_2dr1p_c
M_pi_c,M_ade_c
M_gsn_c,M_gua_c
M_gsn_c,M_r1p_c
M_pi_c,M_gua_c
M_pi_c,M_r1p_c
M_25aics_c,M_aicar_c
M_25aics_c,M_fum_c
M_r5p_c,M_g3p_c
M_r5p_c,M_s7p_c
M_xu5p__D_c,M_g3p_c
M_xu5p__D_c,M_s7p_c
M_ins_c,M_hxan_c
M_ins_c,M_r1p_c
M_pi_c,M_hxan_c
M_pi_c,M_r1p_c
M_din_c,M_2dr1p_c
M_din_c,M_hxan_c
M_pi_c,M_2dr1p_c
M_pi_c,M_hxan_c
M_pi_c,M_r1p_c
M_pi_c,M_xan_c
M_xtsn_c,M_r1p_c
M_xtsn_c,M_xan_c
M_gam6p_c,M_f6p_c
M_gam6p_c,M_nh4_c
M_h2o_c,M_f6p_c
M_h2o_c,M_nh4_c
M_adp_c,M_dadp_c
M_adp_c,M_h2o_c
M_adp_c,M_trdox_c
M_trdrd_c,M_dadp_c
M_trdrd_c,M_h2o_c
M_trdrd_c,M_trdox_c
M_etoh_c,M_acald_c
M_etoh_c,M_h_c
M_etoh_c,M_nadh_c
M_nad_c,M_acald_c
M_nad_c,M_h_c
M_nad_c,M_nadh_c
M_cdp_c,M_dcdp_c
M_cdp_c,M_h2o_c
M_cdp_c,M_trdox_c
M_trdrd_c,M_dcdp_c
M_trdrd_c,M_h2o_c
M_trdrd_c,M_trdox_c
M_trdrd_c,M_dudp_c
M_trdrd_c,M_h2o_c
M_trdrd_c,M_trdox_c
M_udp_c,M_dudp_c
M_udp_c,M_h2o_c
M_udp_c,M_trdox_c
M_acald_c,M_ac_c
M_acald_c,M_h_c
M_acald_c,M_nadph_c
M_h2o_c,M_ac_c
M_h2o_c,M_h_c
M_h2o_c,M_nadph_c
M_nadp_c,M_ac_c
M_nadp_c,M_h_c
M_nadp_c,M_nadph_c
M_dump_c,M_dhf_c
M_dump_c,M_dtmp_c
M_mlthf_c,M_dhf_c
M_mlthf_c,M_dtmp_c
M_rmn_c,M_rml_c
M_atp_c,M_adp_c
M_atp_c,M_dtmp_c
M_atp_c,M_h_c
M_thymd_c,M_adp_c
M_thymd_c,M_dtmp_c
M_thymd_c,M_h_c
M_lys__L_c,M_36dahx_c
M_4ppcys_c,M_co2_c
M_4ppcys_c,M_pan4p_c
M_h_c,M_co2_c
M_h_c,M_pan4p_c
M_10fthf_c,M_for_c
M_10fthf_c,M_h_c
M_10fthf_c,M_thf_c
M_h2o_c,M_for_c
M_h2o_c,M_h_c
M_h2o_c,M_thf_c
M_23dhmb_c,M_3mob_c
M_23dhmb_c,M_h2o_c
M_3c2hmp_c,M_2ippm_c
M_3c2hmp_c,M_h2o_c
M_2dmmq8_c,M_2dmmql8_c
