,#ID,name,reference,formula,charge,mass,InChI,InChIKey,SMILES
177285,MNXM148785,a D-galactose 6-phosphate,metacycM:D-galactose-6-phosphate,C6H11O9P,-2.0,258.01517,"InChI=1S/C6H13O9P/c7-1-3(8)5(10)6(11)4(9)2-15-16(12,13)14/h3,5-8,10-11H,1-2H2,(H2,12,13,14)/p-2",InChIKey=ZKLLSNQJRLJIGT-UHFFFAOYSA-L,O=C(COP(=O)([O-])[O-])C(O)C(O)C(O)CO
177354,MNXM148874,alpha-D-fructofuranose 1-phosphate,metacycM:CPD-16154,C6H11O9P,-2.0,258.01517,"InChI=1S/C6H13O9P/c7-1-3-4(8)5(9)6(10,15-3)2-14-16(11,12)13/h3-5,7-10H,1-2H2,(H2,11,12,13)/p-2/t3-,4-,5+,6+/m1/s1",InChIKey=RHKKZBWRNHGJEZ-ZXXMMSQZSA-L,O=P([O-])([O-])OC[C@]1(O)O[C@H](CO)[C@@H](O)[C@@H]1O
177355,MNXM148875,alpha-D-fructopyranose 1-phosphate,metacycM:CPD-16156,C6H11O9P,-2.0,258.01517,"InChI=1S/C6H13O9P/c7-3-1-14-6(10,5(9)4(3)8)2-15-16(11,12)13/h3-5,7-10H,1-2H2,(H2,11,12,13)/p-2/t3-,4-,5+,6+/m1/s1",InChIKey=HXRNACQBNUPKDX-ZXXMMSQZSA-L,O=P([O-])([O-])OC[C@]1(O)OC[C@@H](O)[C@@H](O)[C@@H]1O
177357,MNXM148878,alpha-L-sorbofuranose 1-phosphate,metacycM:CPD-16158,C6H11O9P,-2.0,258.01517,"InChI=1S/C6H13O9P/c7-1-3-4(8)5(9)6(10,15-3)2-14-16(11,12)13/h3-5,7-10H,1-2H2,(H2,11,12,13)/p-2/t3-,4+,5-,6+/m0/s1",InChIKey=RHKKZBWRNHGJEZ-BGPJRJDNSA-L,O=P([O-])([O-])OC[C@@]1(O)O[C@@H](CO)[C@@H](O)[C@@H]1O
177358,MNXM148879,alpha-L-sorbopyranose 1-phosphate,metacycM:CPD-16160,C6H11O9P,-2.0,258.01517,"InChI=1S/C6H13O9P/c7-3-1-14-6(10,5(9)4(3)8)2-15-16(11,12)13/h3-5,7-10H,1-2H2,(H2,11,12,13)/p-2/t3-,4+,5-,6+/m0/s1",InChIKey=HXRNACQBNUPKDX-BGPJRJDNSA-L,O=P([O-])([O-])OC[C@@]1(O)OC[C@H](O)[C@@H](O)[C@@H]1O
177428,MNXM148970,beta-L-sorbofuranose 1-phosphate,metacycM:CPD-16159,C6H11O9P,-2.0,258.01517,"InChI=1S/C6H13O9P/c7-1-3-4(8)5(9)6(10,15-3)2-14-16(11,12)13/h3-5,7-10H,1-2H2,(H2,11,12,13)/p-2/t3-,4+,5-,6-/m0/s1",InChIKey=RHKKZBWRNHGJEZ-FSIIMWSLSA-L,O=P([O-])([O-])OC[C@]1(O)O[C@@H](CO)[C@@H](O)[C@@H]1O
177429,MNXM148971,beta-L-sorbopyranose 1-phosphate,metacycM:CPD-16161,C6H11O9P,-2.0,258.01517,"InChI=1S/C6H13O9P/c7-3-1-14-6(10,5(9)4(3)8)2-15-16(11,12)13/h3-5,7-10H,1-2H2,(H2,11,12,13)/p-2/t3-,4+,5-,6-/m0/s1",InChIKey=HXRNACQBNUPKDX-FSIIMWSLSA-L,O=P([O-])([O-])OC[C@]1(O)OC[C@H](O)[C@@H](O)[C@@H]1O
177521,MNXM149099,L-sorbofuranose 1-phosphate,metacycM:L-sorbofuranse-1-phosphate,C6H11O9P,-2.0,258.01517,"InChI=1S/C6H13O9P/c7-1-3-4(8)5(9)6(10,15-3)2-14-16(11,12)13/h3-5,7-10H,1-2H2,(H2,11,12,13)/p-2/t3-,4+,5-,6?/m0/s1",InChIKey=RHKKZBWRNHGJEZ-AMVSKUEXSA-L,O=P([O-])([O-])OCC1(O)O[C@@H](CO)[C@@H](O)[C@@H]1O
177523,MNXM149100,L-sorbopyranose 1-phosphate,metacycM:L-sorbopyranose-1-phosphate,C6H11O9P,-2.0,258.01517,"InChI=1S/C6H13O9P/c7-3-1-14-6(10,5(9)4(3)8)2-15-16(11,12)13/h3-5,7-10H,1-2H2,(H2,11,12,13)/p-2/t3-,4+,5-,6?/m0/s1",InChIKey=HXRNACQBNUPKDX-AMVSKUEXSA-L,O=P([O-])([O-])OCC1(O)OC[C@H](O)[C@@H](O)[C@@H]1O
178373,MNXM150079,1-NO-cAMP,chebi:84597,C10H12N5O7P,0.0,345.04743,"InChI=1S/C10H12N5O7P/c11-8-5-9(13-3-15(8)17)14(2-12-5)10-6(16)7-4(21-10)1-20-23(18,19)22-7/h2-4,6-7,10,16H,1,11H2,(H,18,19)/t4-,6-,7-,10-/m1/s1",InChIKey=BDQMQFQUJOMWAB-KQYNXXCUSA-N,Nc1c2ncn([C@@H]3O[C@@H]4COP(=O)(O)O[C@H]4[C@H]3O)c2nc[n+]1[O-]
