,BiGG,MNXM,Unnamed: 4
3530,3htdcoa,MNXM1104726,
3533,kdo2lipid4,MNXM1104740,
3536,udpgal,MNXM1104754,
3537,cbl1,MNXM1104756,
3544,succoa,MNXM1104774,
3548,od2coa,MNXM1104783,
3557,ump,MNXM1104823,
3562,sheme,MNXM1104857,
3566,adocbip,MNXM1104880,
3569,udpglcur,MNXM1104890,
3570,4ahmmp,MNXM1104899,
3579,gam1p,MNXM1104944,
3591,glc__D,MNXM1105029,
3617,ala__D,MNXM1105731,
3618,ala__L,MNXM1105732,
3620,crn,MNXM1105737,
3622,uacmamu,MNXM1105744,
3625,adn,MNXM1105760,
3626,fadh2,MNXM1105762,
3627,glcur,MNXM1105765,
3635,acgal1p,MNXM1105799,
3640,man,MNXM1105842,
3645,g6p,MNXM1105858,
3653,3hbcoa,MNXM1105912,
3657,acgal,MNXM1105933,
3658,acgam,MNXM1105935,
3660,oxadpcoa,MNXM1105939,
3661,inost,MNXM1105941,
3664,dtdpglu,MNXM1105949,
3670,urate,MNXM1105965,
3671,adpglc,MNXM1105977,
3680,aact,MNXM1106,
3681,malt,MNXM1106000,
3682,gdpfuc,MNXM1106003,
3684,HC01415,MNXM1106007,
3685,c81coa,MNXM1106007,
3686,oc2coa,MNXM1106007,
3688,tre,MNXM1106022,
3693,metox,MNXM1106044,
3697,man1p,MNXM1106057,
3700,g1p,MNXM1106065,
3702,gal1p,MNXM1106067,
3708,malcoa,MNXM1106093,
3710,inoshp,MNXM1106105,
3711,minohp,MNXM1106105,
3712,dtdprmn,MNXM1106112,
3721,ppcoa,MNXM1106156,
3724,pmtcoa,MNXM1106160,
3725,lys__L,MNXM1106164,
3726,3hhdcoa,MNXM1106166,
3727,HC01397,MNXM1106166,
3750,mal__L,MNXM1107192,
3757,uamr,MNXM1107410,
3762,fmnh2,MNXM1107623,
3772,galct__D,MNXM1107694,
3773,galctr__D,MNXM1107694,
3774,glcr,MNXM1107695,
3777,ocdcea,MNXM1107708,
3782,hemeO,MNXM1107744,
3783,cit,MNXM1107753,
3787,u3hga,MNXM1107764,
3788,u3hga_HP,MNXM1107764,
3790,his__L,MNXM1107769,
3798,asn__L,MNXM1107821,
3802,f6p,MNXM1107898,
3804,no,MNXM1107902,
3805,mmcoa__S,MNXM1107904,
3810,HC00664,MNXM1107945,
3811,adphep_DD,MNXM1107947,
3819,3hcinnm,MNXM1107995,
3822,nicrnt,MNXM1108016,
3823,h2,MNXM1108018,
3825,rib__D,MNXM1108051,
3832,13dpg,MNXM1108073,
3833,etoh,MNXM1108092,
3834,ppp9,MNXM1108136,
3835,2dr1p,MNXM1108138,
3836,gal,MNXM1108175,
3838,asp__L,MNXM1108206,
3842,3sala,MNXM1108289,
3855,adphep_LD,MNXM1108522,
3865,gal_bD,MNXM112,
3879,pro__L,MNXM114,
3882,2aobut,MNXM114087,
3905,sucorn,MNXM1152,
3910,slnt,MNXM1157,
3920,2mecdp,MNXM1168,
3923,urea,MNXM117,
3924,3dhgulnp,MNXM1170,
3955,4pasp,MNXM1177,
3966,5aprbu,MNXM1178,
3982,ptrc,MNXM118,
3988,ara5p,MNXM1184,
3999,ppgpp,MNXM1189,
4002,mpt,MNXM1193,
4081,23dhmp,MNXM1202,
4089,sucbz,MNXM1212,
4092,mercppyr,MNXM1214,
4095,2dda7p,MNXM1219,
4105,5prdmbz,MNXM1224,
4111,galt,MNXM1233,
4114,xu5p__L,MNXM1238,
