(-5.252599999999999,74)
(-2.4644599999999994,126)
(-1.004199999999994,316)
(-0.8241999999999938,300)
(-0.6359000000000004,60)
(-5.280199999999993,160)
(-10.934900000000008,162)
(-0.6763299999999994,52)
(-8.520199999999917,1070)
(-4.366799999999997,96)
(3.9936000000000025,106)
(-0.44710000000000005,11)
(-4.928099999999995,310)
(-1.1953,13)
(-2.708129999999999,122)
(-5.824899999999992,226)
(-4.375499999999996,108)
(0.5029999999999997,82)
(3.213400000000001,94)
(0.8579999999999999,62)
(-4.197899999999997,122)
(0.246,2)
(-2.5823,60)
(-1.5023,52)
(-4.435499999999998,90)
(-0.0014000000000000123,20)
