BiGG,DEGREE,DEGREE_CENTRALITY,EIGENVECTOR,KATZ,CLOSENESS_CENTRALITY,BETWEENNESS_CENTRALITY,CLUSTCOEF
M_xtsn_c,1,0.0009389671361502347,0.0003980825379879119,-0.004857075973744999,0.1143681805489226,0.0,0
M_3otdcoa_c,2,0.0018779342723004694,1.1675660317539343e-45,-0.004587182232785936,0.0018779342723004694,1.7649758198312683e-06,0
M_myrsACP_c,1,0.0009389671361502347,8.255938585362749e-46,-0.004204917046720442,0.0012519561815336462,0.0,0
M_aacoa_c,2,0.0018779342723004694,0.00040068051286263067,-0.005284541268776964,0.11443178910317672,0.0011666490169084684,0
M_ap4a_c,2,0.0018779342723004694,1.3514567591915338e-43,-0.0046301333772876775,0.0021126760563380284,3.5299516396625366e-06,0
M_ttdcap_c,1,0.0009389671361502347,8.352462115061496e-44,-0.0042092121611706146,0.0014084507042253522,0.0,0
M_alac__S_c,1,0.0009389671361502347,1.4539185281081203e-50,-0.004162443137157608,0.0009389671361502347,0.0,0
M_23dappa_p,1,0.0009389671361502347,1.4539185281081203e-50,-0.004162443137157608,0.0009389671361502347,0.0,0
M_glcur1p_c,1,0.0009389671361502347,1.2944504985403722e-27,-0.004879948292725736,0.009166865600381954,0.0,0
M_h_p,15,0.014084507042253521,5.088760519060682e-27,-0.011337494692838887,0.015023474178403756,0.0004553637615164672,0
M_malthx_c,1,0.0009389671361502347,0.01438509265607967,0.06681245694368326,0.15581094797994072,0.0,0
M_tagdp__D_c,1,0.0009389671361502347,0.00452247618526324,-0.0042517805068207504,0.1330412911784751,0.0,0
M_ichor_c,3,0.002816901408450704,0.05615988168340785,-0.0050558168337890355,0.1692009513219669,0.0023315330579971056,0
M_23ddhb_c,2,0.0018779342723004694,3.487381912464976e-05,-0.005787933005645297,0.0977194760425133,0.0034893571958064173,0
M_melib_c,1,0.0009389671361502347,3.464472991570867e-05,-0.0052701542414927685,0.09758043955774805,0.0,0
M_maltpt_c,1,0.0009389671361502347,3.520553049699407e-28,-0.004276963285570122,0.0067605633802816905,0.0,0
M_23dhbzs_c,2,0.0018779342723004694,1.3840043620647342e-27,-0.005307644621282749,0.009488510007412899,4.059444385611917e-05,0
M_r5p_c,1,0.0009389671361502347,0.01438509265607967,0.06681245694368326,0.15581094797994072,0.0,0
M_gam6p_c,1,0.0009389671361502347,2.9794078599725516e-07,-0.004210709624470194,0.07437135615670043,0.0,0
M_23dhb_c,2,0.0018779342723004694,3.69981868531705e-06,-0.004645108010283466,0.08446155862377329,0.0011666490169084684,0
M_unagamuf_c,1,0.0009389671361502347,0.055431610254848815,-0.004205460732424891,0.16892311724754658,0.0,0
M_malthp_c,1,0.0009389671361502347,0.006813884299465077,-0.00916859732421445,0.1411652533842276,0.0,0
M_gdpddman_c,1,0.0009389671361502347,0.0011658173901879212,0.0029646938090166363,0.12469597382273438,0.0,0
M_enter_c,2,0.0018779342723004694,0.014478975754478096,0.06710892632458483,0.1559290313054276,0.0011666490169084684,0
M_td2coa_c,1,0.0009389671361502347,0.01438509265607967,0.06681245694368311,0.15581094797994072,0.0,0
M_sucr_c,1,0.0009389671361502347,0.0011737885299935315,0.002971978290859096,0.12576305428332013,0.0,0
M_aspsa_c,3,0.002816901408450704,0.014577973425471305,0.06718177114300944,0.15760119249905152,0.017153799992940096,0
M_rml1p_c,1,0.0009389671361502347,9.835575135337623e-05,-0.00367408245320155,0.10532293668160315,0.0,0
M_pyr_c,7,0.006572769953051643,0.001221357276464628,0.000721163702402975,0.12677039852588526,0.014979349782907974,0
M_gdpmann_c,1,0.0009389671361502347,0.00037401618120007634,-0.0042310321429240615,0.11079609951939244,0.0,0
M_2ahbut_c,2,0.0018779342723004694,0.004645189211643091,-0.0048483331948221365,0.13478438048313904,0.0011666490169084684,0
M_micit_c,1,0.0009389671361502347,0.006813884299465077,-0.009168597324214477,0.1411652533842276,0.0,0
M_cytd_c,2,0.0018779342723004694,6.0793905148220516e-27,-0.005370364885489992,0.01001564945226917,4.059444385611917e-05,0
M_2ommbl_c,3,0.002816901408450704,1.9501437573907374e-42,-0.005020678835540621,0.0028169014084507044,5.294927459493805e-06,0
M_23doguln_p,1,0.0009389671361502347,1.1259160232880105e-42,-0.004248266706995909,0.0016901408450704226,0.0,0
M_accoa_c,24,0.02253521126760563,2.9223737170082196e-22,-0.01707408434163255,0.022151959375299415,0.0009548519185287161,0
M_na1_p,2,0.0018779342723004694,6.216602265671965e-23,-0.005973277289964978,0.014282184334074624,0.00016414275124430796,0
M_b2coa_c,1,0.0009389671361502347,0.0011812359607214227,0.003025821516419047,0.12484730388805323,0.0,0
