source,target
M_tmao_e,M_tmao_p
M_tre_e,M_tre_p
M_enter_p,M_enter_e
M_h_p,M_enter_e
M_fe3hox_un_p,M_fe3hox_un_e
M_h_p,M_fe3hox_un_e
M_feoxam_un_c,M_feoxam_un_p
M_h_p,M_feoxam_un_p
M_fecrm_un_c,M_fecrm_un_p
M_h_p,M_fecrm_un_p
M_fe3hox_c,M_fe3hox_un_c
M_fmnh2_c,M_fe3hox_un_c
M_trp__L_e,M_trp__L_p
M_pnto__R_e,M_pnto__R_p
M_tsul_e,M_tsul_p
M_tyr__L_e,M_tyr__L_p
M_ura_e,M_ura_p
M_urea_e,M_urea_p
M_uri_e,M_uri_p
M_ethso3_e,M_ethso3_p
M_butso3_e,M_butso3_p
M_lipoate_e,M_lipoate_p
M_cyan_p,M_h_p
M_cyan_p,M_so3_p
M_cyan_p,M_tcynt_p
M_tsul_p,M_h_p
M_tsul_p,M_so3_p
M_tsul_p,M_tcynt_p
M_val__L_e,M_val__L_p
M_xan_e,M_xan_p
M_xyl__D_e,M_xyl__D_p
M_pppn_e,M_pppn_p
M_4abut_e,M_4abut_p
M_for_c,M_for_p
M_atp_c,M_pheme_p
M_h2o_c,M_pheme_p
M_pheme_c,M_pheme_p
M_ppt_e,M_ppt_p
M_gal_bD_e,M_gal_bD_p
M_colipa_e,M_h2o_e
M_colipa_e,M_hacolipa_e
M_h_e,M_h2o_e
M_h_e,M_hacolipa_e
M_hdca_e,M_h2o_e
M_hdca_e,M_hacolipa_e
M_atp_c,M_lipa_p
M_h2o_c,M_lipa_p
M_lipa_c,M_lipa_p
M_h_e,M_h2o_e
M_h_e,M_halipa_e
M_hdca_e,M_h2o_e
M_hdca_e,M_halipa_e
M_lipa_e,M_h2o_e
M_lipa_e,M_halipa_e
M_atp_c,M_lipa_cold_p
M_h2o_c,M_lipa_cold_p
M_lipa_cold_c,M_lipa_cold_p
M_unagamuf_p,M_eca2und_p
M_unagamuf_p,M_h_p
M_unagamuf_p,M_udcpdp_p
M_ptrc_e,M_ptrc_p
M_h2o_p,M_h_p
M_h2o_p,M_pi_p
M_h2o_p,M_udcpp_p
M_udcpdp_p,M_h_p
M_udcpdp_p,M_pi_p
M_udcpdp_p,M_udcpp_p
M_eca2und_p,M_eca3und_p
M_eca2und_p,M_h_p
M_eca2und_p,M_udcpdp_p
M_unagamuf_p,M_eca3und_p
M_unagamuf_p,M_h_p
M_unagamuf_p,M_udcpdp_p
M_colipa_p,M_eca4colipa_p
M_colipa_p,M_h_p
M_colipa_p,M_udcpdp_p
M_eca4und_p,M_eca4colipa_p
M_eca4und_p,M_h_p
M_eca4und_p,M_udcpdp_p
M_fe3hox_c,M_fe3hox_un_c
M_rbflvrd_c,M_fe3hox_un_c
M_pyr_e,M_pyr_p
M_gal_bD_p,M_gal_p
M_atp_c,M_cu_p
M_cu_c,M_cu_p
M_h2o_c,M_cu_p
M_atp_c,M_hg2_p
M_h2o_c,M_hg2_p
M_hg2_c,M_hg2_p
M_sulfac_e,M_sulfac_p
M_ser__D_e,M_ser__D_p
M_colipa_p,M_acolipa_p
M_colipa_p,M_udcpp_p
M_uLa4n_p,M_acolipa_p
M_uLa4n_p,M_udcpp_p
M_ser__L_e,M_ser__L_p
M_no_e,M_no_p
M_n2o_e,M_n2o_p
M_crn__D_c,M_crn__D_p
M_crn_p,M_crn__D_p
M_crn__D_p,M_crn__D_c
M_h_p,M_crn__D_c
M_ctbt_p,M_ctbt_c
M_h_p,M_ctbt_c
M_dopa_p,M_34dhpac_p
M_dopa_p,M_h2o2_p
M_dopa_p,M_nh4_p
M_h2o_p,M_34dhpac_p
M_h2o_p,M_h2o2_p
M_h2o_p,M_nh4_p
M_o2_p,M_34dhpac_p
M_o2_p,M_h2o2_p
M_o2_p,M_nh4_p
M_h2o_p,M_4hoxpacd_p
M_h2o_p,M_h2o2_p
M_h2o_p,M_nh4_p
M_o2_p,M_4hoxpacd_p
M_o2_p,M_h2o2_p
M_o2_p,M_nh4_p
M_tym_p,M_4hoxpacd_p
M_tym_p,M_h2o2_p
M_tym_p,M_nh4_p
M_peamn_e,M_peamn_p
M_pacald_e,M_pacald_p
M_cdp_c,M_grxox_c
M_grxrd_c,M_grxox_c
M_grxrd_c,M_grxox_c
M_udp_c,M_grxox_c
M_acgal1p_e,M_acgal1p_p
M_acgal_e,M_acgal_p
M_glcur1p_e,M_glcur1p_p
M_udpglcur_e,M_udpglcur_p
M_h2o_p,M_gal1p_p
M_h2o_p,M_h_p
M_h2o_p,M_ump_p
M_udpgal_p,M_gal1p_p
M_udpgal_p,M_h_p
M_udpgal_p,M_ump_p
M_h2o_p,M_acgam1p_p
M_h2o_p,M_h_p
M_h2o_p,M_ump_p
M_uacgam_p,M_acgam1p_p
M_uacgam_p,M_h_p
M_uacgam_p,M_ump_p
M_h2o_p,M_acgal1p_p
M_h2o_p,M_h_p
M_h2o_p,M_ump_p
M_udpacgal_p,M_acgal1p_p
M_udpacgal_p,M_h_p
M_udpacgal_p,M_ump_p
M_h2o_p,M_glcur1p_p
M_h2o_p,M_h_p
M_h2o_p,M_ump_p
