,DEGREE
M_citr__L_c,1
M_ckdo_c,1
M_cl_c,1
M_clpn120_c,1
M_clpn140_c,1
M_clpn141_c,1
M_clpn160_c,1
M_clpn161_c,1
M_clpn180_c,1
M_clpn181_c,1
M_cm_c,1
M_cmp_c,2
M_co2_c,3
M_coa_c,11
M_cobalt2_e,1
M_colipa_c,1
M_cpe160_c,1
M_cpe180_c,1
M_cpg160_c,1
M_cpg180_c,1
M_cpgn_c,1
M_cpgn_un_c,1
M_cph4_c,1
M_cpmp_c,1
M_cpppg3_c,1
M_crnDcoa_c,1
M_crn_c,1
M_crncoa_c,1
M_csn_c,1
M_ctbtcoa_c,1
M_ctp_c,3
M_cu2_c,1
M_cu_c,2
M_cur_c,1
M_cyan_c,1
M_cynt_c,1
M_cys__D_c,1
M_cys__L_c,4
M_cys__L_p,1
M_cysi__L_c,1
M_cyst__L_c,1
M_cytd_c,2
M_dad_2_c,3
M_dad_5_c,3
M_dadp_c,2
M_damp_c,1
M_dann_c,2
M_datp_c,1
M_db4p_c,1
M_dc2coa_c,1
M_dca_c,1
M_dcacoa_c,2
M_dcamp_c,1
M_dcdp_c,2
M_dcmp_c,2
M_dctp_c,1
M_dcyt_c,1
M_dd2coa_c,1
M_ddcaACP_c,1
M_ddca_c,1
M_ddcacoa_c,2
M_ddcap_c,1
M_dgdp_c,2
M_dgmp_c,2
M_dgsn_c,2
M_dgtp_c,1
M_dha_c,1
M_dhap_c,1
M_dhcholn_c,1
M_dhcinnm_c,1
M_dhf_c,1
M_dhgly_c,2
M_dhmptp_c,1
M_dhna_c,2
M_dhnpt_c,2
M_dhor__S_c,1
M_dhpmp_c,1
M_dhpppn_c,1
M_dhpt_c,2
M_dhptd_c,1
M_dhptdd_c,1
M_didp_c,1
M_dimp_c,1
M_din_c,2
M_ditp_c,1
M_dmbzid_c,2
M_dmlz_c,2
M_dmpp_c,1
M_dms_c,1
M_dmso_c,2
M_dmso_p,1
M_dnad_c,1
M_dopa_c,1
M_doxrbcn_c,1
M_dpcoa_c,4
M_dscl_c,1
M_dtbt_c,1
M_dtdp4aaddg_c,1
M_dtdp4addg_c,1
M_dtdp4d6dg_c,1
M_dtdp4d6dm_c,1
M_dtdp_c,2
M_dtdpglu_c,1
M_dtdprmn_c,1
M_dtmp_c,2
M_dttp_c,1
M_dudp_c,2
M_dump_c,1
M_duri_c,3
M_dutp_c,1
M_dxyl5p_c,3
M_dxyl_c,2
M_dxylnt_c,1
M_e4p_c,3
M_eca2und_c,1
M_eca3und_c,1
M_eca4und_c,1
M_eig3p_c,1
M_enlipa_c,1
M_enter_c,2
M_etha_c,2
M_ethso3_c,2
M_ethso3_p,1
M_etoh_c,2
M_f1p_c,2
M_f6p_c,1
M_f_c,1
M_fad_c,1
M_fadh2_c,1
M_fald_c,1
M_fc1p_c,1
M_fcl__L_c,2
M_fdp_c,1
M_fe2_c,2
M_fe2_p,1
M_fe3_c,1
M_fe3dcit_c,1
M_fe3dcit_p,1
M_fe3dhbzs_c,1
M_fe3hox_c,1
M_fecrm_c,1
M_fecrm_p,1
M_feenter_c,1
M_feenter_p,1
M_feoxam_c,1
M_feoxam_p,1
M_fgam_c,2
M_flxso_c,1
M_fmn_c,1
M_fmnh2_c,2
M_for_c,4
M_forcoa_c,1
M_fpram_c,1
M_fprica_c,1
M_frdp_c,1
M_fru_c,2
M_frulys_c,2
M_frulysp_c,1
M_fruur_c,1
M_fuc__L_c,1
M_fum_c,2
M_g1p_c,1
M_g3p_c,2
M_g3pc_c,1
M_g3pe_c,1
M_g3pg_c,1
M_g3pi_c,1
M_g3ps_c,1
M_g6p_c,2
M_gagicolipa_c,1
M_gal1p_c,1
M_gal_bD_c,1
M_gal_c,1
M_galct__D_c,2
M_galctn__D_c,2
M_galctn__L_c,1
M_galt1p_c,1
M_galt_c,1
M_galur_c,1
M_gam1p_c,2
M_gam6p_c,1
M_gam_c,1
M_gar_c,2
M_garagund_c,1
M_gcald_c,1
M_gdp_c,2
M_gdpddman_c,1
M_gdpfuc_c,1
M_gdpmann_c,1
M_gdpofuc_c,1
M_gdptp_c,1
M_gfgaragund_c,1
M_gg4abut_c,2
M_ggagicolipa_c,1
M_ggbutal_c,1
M_gggagicolipa_c,2
M_ggptrc_c,1
M_ghb_c,1
M_gicolipa_c,1
M_glc__D_c,3
M_glcn_c,3
M_glcr_c,2
M_glcur1p_c,1
M_glcur_c,1
M_gln__L_c,5
M_glu1sa_c,2
M_glu5p_c,1
M_glu5sa_c,2
M_glu__D_c,2
M_glu__L_c,6
M_glucys_c,1
M_glx_c,2
M_gly_c,3
M_glyald_c,1
M_glyb_c,1
M_glyc2p_c,1
M_glyc3p_c,14
M_glyc__R_c,4
M_glyc_c,2
M_glyclt_c,2
M_glycogen_c,1
M_gmhep17bp_c,1
M_gmhep1p_c,1
M_gmhep7p_c,2
M_gmp_c,2
M_gp4g_c,1
