BiGG,MNXM
2obut,MNXM159
3c4mop,MNXM1602
Mal__D,MNXM1608
pydx5p,MNXM161
3amac,MNXM162288
2dh3dgal,MNXM1627
isetac,MNXM1630
istnt,MNXM1630
3hpppn,MNXM1634
4hbz,MNXM164
2p4c2me,MNXM1641
caproic,MNXM1653
hxa,MNXM1653
n8aspmd,MNXM1679
ade,MNXM168
2ippm,MNXM1706
sucsal,MNXM172
galctn__D,MNXM1734
xan,MNXM174
frulys,MNXM1742
acetol,MNXM1744
sucarg,MNXM1756
sucglu,MNXM1757
sucgsa,MNXM1763
udpLa4n,MNXM1786
2mcacn,MNXM1792
4hthr,MNXM1802
xu5p__D,MNXM186
36dahx,MNXM1865
anth,MNXM188
2oph,MNXM1886
q8h2,MNXM191
4abut,MNXM192
dimp,MNXM1922
acanth,MNXM1939
sula,MNXM1949
sulfac,MNXM1949
23dhba,MNXM1978
dhgly,MNXM1984
val__L,MNXM199
akg,MNXM20
altrn,MNXM2011
dopa,MNXM205
2pglyc,MNXM2074
cys__D,MNXM2112
2amsa,MNXM2124
athr__L,MNXM2125
ncam,MNXM216
didp,MNXM2174
2dmmq8,MNXM2178
etha,MNXM218
etham,MNXM218
3cmp,MNXM2182
3gmp,MNXM2183
3ophb,MNXM2195
aacald,MNXM2212
amacald,MNXM2212
glyclt,MNXM222
Mql8,MNXM223
Metsox_R__L,MNXM2245
Mn2,MNXM2255
sel,MNXM2282
pyr,MNXM23
uracp,MNXM2304
q8,MNXM232
dump,MNXM234
orot,MNXM235
ocdca,MNXM236
ap5a,MNXM2412
camp,MNXM243
Msa,MNXM244
pheme,MNXM249
succ,MNXM25
dhor__S,MNXM252
glyc2p,MNXM2527
thmpp,MNXM256
dtmp,MNXM257
e4p,MNXM258
23camp,MNXM2598
ac,MNXM26
dcmp,MNXM266
hlipa,MNXM2680
na1,MNXM27
ribflv,MNXM270
nac,MNXM274
nicnt,MNXM274
2pg,MNXM275
actp,MNXM280
arbt6p,MNXM2806
dhf,MNXM281
taur,MNXM282
datp,MNXM286
13ppd,MNXM2861
glyb,MNXM289
gly,MNXM29
oxa,MNXM291
atp,MNXM3
sarcs,MNXM300
btn,MNXM304
Mptamp,MNXM3054
Mththf,MNXM30887
