Source	BiGG	MNXM	Stuff	
bigg.metabolite:	12dgr1619Z163n4	MNXM1091522	1,2-Diacyl-sn-glycerol(16:1(9Z)/16:3(6Z,9Z,12Z))
bigg.metabolite:	12dgr1619Z180	MNXM1091523	1,2-Diacyl-sn-glycerol(16:1(9Z)/18:0)
bigg.metabolite:	12dgr1619Z1819Z	MNXM1091524	1,2-Diacyl-sn-glycerol(16:1(9Z)/18:1(9Z))
bigg.metabolite:	12dgr1619Z182n6	MNXM1091525	1,2-Diacyl-sn-glycerol(16:1(9Z)/18:2(9Z,12Z))
bigg.metabolite:	12dgr1619Z183n3	MNXM1091526	1,2-Diacyl-sn-glycerol(16:1(9Z)/18:3(9Z,12Z,15Z))
bigg.metabolite:	12dgr1619Z183n6	MNXM1091527	1,2-Diacyl-sn-glycerol(16:1(9Z)/18:3(6Z,9Z,12Z))
bigg.metabolite:	12dgr1619Z204n6	MNXM1091528	1,2-Diacyl-sn-glycerol(16:1(9Z)/20:4(5Z,8Z,11Z,14Z))
bigg.metabolite:	12dgr1619Z205n3	MNXM1091529	1,2-Diacyl-sn-glycerol(16:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))
bigg.metabolite:	12dgr1619Z226n3	MNXM1091530	1,2-Diacyl-sn-glycerol(16:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))
bigg.metabolite:	12dgr1619Z240	MNXM1091531	1,2-Diacyl-sn-glycerol(16:1(9Z)/24:0)
bigg.metabolite:	12dgr180140	MNXM1091532	1,2-Diacyl-sn-glycerol(18:0/14:0)
bigg.metabolite:	12dgr180160	MNXM1091533	1,2-Diacyl-sn-glycerol(18:0/16:0)
bigg.metabolite:	12dgr1801619Z	MNXM1091534	1,2-Diacyl-sn-glycerol(18:0/16:1(9Z))
bigg.metabolite:	12dgr180182n6	MNXM1091535	1,2-Diacyl-sn-glycerol(18:0/18:2(9Z,12Z))
bigg.metabolite:	12dgr180183n3	MNXM1091536	1,2-Diacyl-sn-glycerol(18:0/18:3(9Z,12Z,15Z))
bigg.metabolite:	12dgr180183n6	MNXM1091537	1,2-Diacyl-sn-glycerol(18:0/18:3(6Z,9Z,12Z))
bigg.metabolite:	12dgr180204n6	MNXM1091538	1,2-Diacyl-sn-glycerol(18:0/20:4(5Z,8Z,11Z,14Z))
bigg.metabolite:	12dgr180205n3	MNXM1091539	1,2-Diacyl-sn-glycerol(18:0/20:5(5Z,8Z,11Z,14Z,17Z))
bigg.metabolite:	12dgr180226n3	MNXM1091540	1,2-Diacyl-sn-glycerol(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))
bigg.metabolite:	12dgr1819Z140	MNXM1091541	1,2-Diacyl-sn-glycerol(18:1(9Z)/14:0)
bigg.metabolite:	12dgr1819Z162n4	MNXM1091542	1,2-Diacyl-sn-glycerol(18:1(9Z)/16:2(9Z,12Z))
bigg.metabolite:	12dgr1819Z163n4	MNXM1091543	1,2-Diacyl-sn-glycerol(18:1(9Z)/16:3(6Z,9Z,12Z))
bigg.metabolite:	12dgr1819Z180	MNXM1091544	1,2-Diacyl-sn-glycerol(18:1(9Z)/18:0)
bigg.metabolite:	12dgr1819Z182n6	MNXM1091545	1,2-Diacyl-sn-glycerol(18:1(9Z)/18:2(9Z,12Z))
bigg.metabolite:	12dgr1819Z183n3	MNXM1091546	1,2-Diacyl-sn-glycerol(18:1(9Z)/18:3(9Z,12Z,15Z))
bigg.metabolite:	12dgr1819Z183n6	MNXM1091547	1,2-Diacyl-sn-glycerol(18:1(9Z)/18:3(6Z,9Z,12Z))
bigg.metabolite:	12dgr1819Z204n6	MNXM1091548	1,2-Diacyl-sn-glycerol(18:1(9Z)/20:4(5Z,8Z,11Z,14Z))
bigg.metabolite:	12dgr1819Z205n3	MNXM1091549	1,2-Diacyl-sn-glycerol(18:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))
bigg.metabolite:	12dgr1819Z226n3	MNXM1091550	1,2-Diacyl-sn-glycerol(18:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))
bigg.metabolite:	12dgr182n6140	MNXM1091551	1,2-Diacyl-sn-glycerol(18:2(9Z,12Z)/14:0)
bigg.metabolite:	12dgr182n6160	MNXM1091552	1,2-Diacyl-sn-glycerol(18:2(9Z,12Z)/16:0)
bigg.metabolite:	12dgr182n61619Z	MNXM1091553	1,2-Diacyl-sn-glycerol(18:2(9Z,12Z)/16:1(9Z))
bigg.metabolite:	12dgr182n6180	MNXM1091554	1,2-Diacyl-sn-glycerol(18:2(9Z,12Z)/18:0)
bigg.metabolite:	12dgr182n61819Z	MNXM1091555	1,2-Diacyl-sn-glycerol(18:2(9Z,12Z)/18:1(9Z))
bigg.metabolite:	12dgr182n6183n3	MNXM1091556	1,2-Diacyl-sn-glycerol(18:2(9Z,12Z)/18:3(9Z,12Z,15Z))
bigg.metabolite:	12dgr182n6183n6	MNXM1091557	1,2-Diacyl-sn-glycerol(18:2(9Z,12Z)/18:3(6Z,9Z,12Z))
bigg.metabolite:	12dgr182n6204n6	MNXM1091558	1,2-Diacyl-sn-glycerol(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))
bigg.metabolite:	12dgr182n6205n3	MNXM1091559	1,2-Diacyl-sn-glycerol(18:2(9Z,12Z)/20:5(5Z,8Z,11Z,14Z,17Z))
bigg.metabolite:	12dgr182n6226n3	MNXM1091560	1,2-Diacyl-sn-glycerol(18:2(9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))
bigg.metabolite:	12dgr205n3	MNXM1091561	1,2-Diacyl-sn-glycerol(20:5(5Z,8Z,11Z,14Z,17Z)/20:5(5Z,8Z,11Z,14Z,17Z))
bigg.metabolite:	12dgr205n3140	MNXM1091562	1,2-Diacyl-sn-glycerol(20:5(5Z,8Z,11Z,14Z,17Z)/14:0)
bigg.metabolite:	12dgr205n3160	MNXM1091563	1,2-Diacyl-sn-glycerol(20:5(5Z,8Z,11Z,14Z,17Z)/16:0)
bigg.metabolite:	12dgr205n31619Z	MNXM1091564	1,2-Diacyl-sn-glycerol(20:5(5Z,8Z,11Z,14Z,17Z)/16:1(9Z))
bigg.metabolite:	12dgr205n3162n4	MNXM1091565	1,2-Diacyl-sn-glycerol(20:5(5Z,8Z,11Z,14Z,17Z)/16:2(9Z,12Z))
bigg.metabolite:	12dgr205n3163n4	MNXM1091566	1,2-Diacyl-sn-glycerol(20:5(5Z,8Z,11Z,14Z,17Z)/16:3(6Z,9Z,12Z))
bigg.metabolite:	12dgr205n3164n1	MNXM1091567	1,2-Diacyl-sn-glycerol(20:5(5Z,8Z,11Z,14Z,17Z)/16:4(6Z,9Z,12Z,15Z))
bigg.metabolite:	12dgr205n3180	MNXM1091568	1,2-Diacyl-sn-glycerol(20:5(5Z,8Z,11Z,14Z,17Z)/18:0)
bigg.metabolite:	12dgr205n31819Z	MNXM1091569	1,2-Diacyl-sn-glycerol(20:5(5Z,8Z,11Z,14Z,17Z)/18:1(9Z))
bigg.metabolite:	12dgr205n3182n6	MNXM1091570	1,2-Diacyl-sn-glycerol(20:5(5Z,8Z,11Z,14Z,17Z)/18:2(9Z,12Z))
bigg.metabolite:	12dgr205n3183n3	MNXM1091571	1,2-Diacyl-sn-glycerol(20:5(5Z,8Z,11Z,14Z,17Z)/18:3(9Z,12Z,15Z))
bigg.metabolite:	12dgr205n3183n6	MNXM1091572	1,2-Diacyl-sn-glycerol(20:5(5Z,8Z,11Z,14Z,17Z)/18:3(6Z,9Z,12Z))
bigg.metabolite:	12dgr205n3204n6	MNXM1091573	1,2-Diacyl-sn-glycerol(20:5(5Z,8Z,11Z,14Z,17Z)/20:4(5Z,8Z,11Z,14Z))
