BiGG,MNXM,MolWt,NumHeteroatoms,NumHAcceptors,NumValenceElectrons,MolMR,MolLogP,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,charge,NumHDonors
3psme,MNXM1365,320.146,11,10,118,55.213300000000025,-4.709999999999997,0.1349158208554399,-0.7898520719112825,0.7898520719112825,0.1349158208554399,-4.0,1
ghb,MNXM13761,155.15099999999998,6,5,56,27.656799999999997,-2.1152,0.0971937581910395,-0.7478702291826427,0.7478702291826427,0.0971937581910395,-1.0,2
ggbutal,MNXM1378,216.237,6,4,86,55.07400000000001,0.1141000000000002,0.319982828609111,-0.4965961518394741,0.4965961518394741,0.319982828609111,0.0,3
cbp,MNXM138,139.003,7,5,48,18.637,-2.2412300000000003,0.2039321000878754,-0.7691561057104928,0.7691561057104928,0.2039321000878754,-2.0,2
acg5p,MNXM1384,266.122,10,8,98,47.05530000000002,-3.332299999999998,0.3187841850411069,-0.8621682995142574,0.8621682995142574,0.3187841850411069,-3.0,1
prfp,MNXM1397,573.3010000000004,22,18,210,105.74779999999998,-7.0120999999999984,0.2707376125671268,-0.7898733865866784,0.7898733865866784,0.2707376125671268,-4.0,6
34dhpac,MNXM1401,152.149,3,3,58,39.539600000000014,0.8391999999999997,0.1571757301095772,-0.5042598910083304,0.5042598910083304,0.1571757301095772,0.0,2
pppn,MNXM1403,149.16899999999998,2,2,58,39.77000000000001,0.3691,0.0417140164646805,-0.5501595056677473,0.5501595056677473,0.0417140164646805,-1.0,0
gg4abut,MNXM1406,231.228,7,5,92,54.01700000000001,-1.197899999999998,0.319979826751243,-0.8619926424525867,0.8619926424525867,0.319979826751243,-1.0,3
4per,MNXM1407,213.05799999999996,9,8,78,30.5791,-4.696599999999997,0.1213817538671781,-0.7898733862180259,0.7898733862180259,0.1213817538671781,-3.0,2
prlp,MNXM1408,573.3010000000004,22,18,210,107.7878,-6.977099999999998,0.2706599900296977,-0.7898733865866544,0.7898733865866544,0.2706599900296977,-4.0,6
thr__L,MNXM142,119.12,4,3,48,27.291999999999994,-1.2208999999999997,0.3226636677394967,-0.4800132023099517,0.4800132023099517,0.3226636677394967,0.0,3
eig3p,MNXM1422,236.12,9,7,86,43.11280000000001,-2.350699999999999,0.1233784879625855,-0.7898733862102297,0.7898733862102297,0.1233784879625855,-2.0,3
ala_B,MNXM144,89.09399999999998,3,2,36,21.3072,-0.5802,0.304125215871101,-0.481195254586476,0.481195254586476,0.304125215871101,0.0,2
ugmd,MNXM1446,1047.764000000001,35,27,396,220.5643999999997,-6.682800000000023,0.4830399761105937,-0.8621744406768972,0.8621744406768972,0.4830399761105937,-4.0,11
ru5p__D,MNXM145,228.093,9,8,84,37.6649,-3.885099999999998,0.1887565766676279,-0.7898733861841889,0.7898733861841889,0.1887565766676279,-2.0,3
