,d1_1515,d2_1515,value1515
240,MinAbsEStateIndex,ExactMolWt,-0.3824242768212217
241,MinAbsEStateIndex,NumValenceElectrons,-0.36891891843602415
242,MinAbsEStateIndex,MaxPartialCharge,-0.46997968982675054
243,MinAbsEStateIndex,MinPartialCharge,0.2099387326505721
244,MinAbsEStateIndex,MaxAbsPartialCharge,-0.35294730691174225
245,MinAbsEStateIndex,MinAbsPartialCharge,-0.4829368508967813
246,MinAbsEStateIndex,FpDensityMorgan1,0.2470234320603753
247,MinAbsEStateIndex,FpDensityMorgan2,0.10014795911659506
248,MinAbsEStateIndex,FpDensityMorgan3,-0.08750869385200648
249,MinAbsEStateIndex,BCUT2D_MWHI,-0.11170948997842024
250,MinAbsEStateIndex,BCUT2D_MWLOW,0.3215634157848323
251,MinAbsEStateIndex,BCUT2D_CHGHI,-0.091082839819398
252,MinAbsEStateIndex,BCUT2D_CHGLO,-0.0015824318163527
253,MinAbsEStateIndex,BCUT2D_LOGPHI,-0.2349239432861005
254,MinAbsEStateIndex,BCUT2D_LOGPLOW,-0.14231322641230607
255,MinAbsEStateIndex,BCUT2D_MRHI,-0.15042790558392186
256,MinAbsEStateIndex,BCUT2D_MRLOW,-0.08274377846813474
257,MinAbsEStateIndex,BalabanJ,0.43794076782064795
258,MinAbsEStateIndex,BertzCT,-0.4144738993201893
259,MinAbsEStateIndex,Chi0,-0.36847443841483773
260,MinAbsEStateIndex,Chi0n,-0.3909156420234385
261,MinAbsEStateIndex,Chi0v,-0.3965969492470012
262,MinAbsEStateIndex,Chi1,-0.38621953625037775
263,MinAbsEStateIndex,Chi1n,-0.3919870301736689
264,MinAbsEStateIndex,Chi1v,-0.36731939793997176
265,MinAbsEStateIndex,Chi2n,-0.38759736166763986
266,MinAbsEStateIndex,Chi2v,-0.36763027911852825
267,MinAbsEStateIndex,Chi3n,-0.39191629184924537
268,MinAbsEStateIndex,Chi3v,-0.38913134221240026
269,MinAbsEStateIndex,Chi4n,-0.39849861975652634
270,MinAbsEStateIndex,Chi4v,-0.3949724732343236
271,MinAbsEStateIndex,HallKierAlpha,0.42575301136212096
272,MinAbsEStateIndex,Ipc,-0.3938592782768591
273,MinAbsEStateIndex,Kappa1,-0.36956803158164664
274,MinAbsEStateIndex,Kappa2,-0.36480638999831577
275,MinAbsEStateIndex,Kappa3,-0.25989446707563424
276,MinAbsEStateIndex,LabuteASA,-0.39782355945523623
277,MinAbsEStateIndex,PEOE_VSA1,-0.1726905134599272
278,MinAbsEStateIndex,SMR_VSA1,-0.2248586467981581
279,MinAbsEStateIndex,SlogP_VSA2,-0.21471535371537326
280,MinAbsEStateIndex,SlogP_VSA3,-0.33623777275441186
281,MinAbsEStateIndex,TPSA,-0.2396120775556588
282,MinAbsEStateIndex,FractionCSP3,0.13462463616411166
283,MinAbsEStateIndex,HeavyAtomCount,-0.3825682141718133
284,MinAbsEStateIndex,NOCount,-0.2734551251784922
285,MinAbsEStateIndex,NumHAcceptors,-0.23797387155770233
286,MinAbsEStateIndex,NumHeteroatoms,-0.27319038438599313
287,MinAbsEStateIndex,NumRotatableBonds,-0.32773490497037394
288,MinAbsEStateIndex,MolLogP,-0.28648658346402717
289,MinAbsEStateIndex,MolMR,-0.4161133822783488
290,qed,mass,-0.7649285229977575
291,qed,MaxEStateIndex,-0.6902493157797681
292,qed,MinEStateIndex,0.512688755950908
