BiGG,MNXM,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,SMR_VSA1,SlogP_VSA2,SlogP_VSA3,TPSA,FractionCSP3,HeavyAtomCount,NOCount,NumHAcceptors,NumHeteroatoms,NumRotatableBonds,MolLogP,MolMR
murein4px4px4p,MNXM1107894,14.260277460644474,-2.597351633724964,14.260277460644474,0.3635841721990187,0.0164814771101811,2723.6459999999897,2555.3099999999936,2722.079673783461,1070,0.3280567907359234,-0.8621744426991836,0.8621744426991836,0.3280567907359234,0.331578947368421,0.6631578947368421,1.068421052631579,16.78046056066551,9.926681546926805,2.6097628208479318,-2.5135012941582486,2.432701964863834,-2.682294534328081,5.960372310657317,-0.3692381651037754,1.4739806973379752,6647.290486576778,142.3218996664789,105.39265253904152,105.39265253904152,89.19557486991769,59.801410054881714,59.801410054881714,45.05611562958476,45.05611562958476,30.09954228675204,30.09954228675204,20.18202906525613,20.18202906525613,-15.72999999999996,3.049448964432948e+66,159.2272932563246,74.75589585590147,46.32698067117088,1081.499908509908,260.991262439469,288.8193552508094,638.1539293023031,99.8778416417035,1287.420000000001,0.7387387387387387,190,79,58,79,33,-8.520199999999917,646.4172000000008
f6p,MNXM1107898,10.14548083585286,-5.231574349647267,10.14548083585286,0.8563348765432099,0.3645339250660916,258.119,247.03099999999995,258.01516572182004,96,0.2186098049599739,-0.789873386572046,0.789873386572046,0.2186098049599739,1.4375,2.0,2.375,31.204461331884552,10.066368064882646,2.525962741530257,-2.299414063835935,2.3198864643302786,-2.45586726202441,7.427294800744013,-0.3435953271875112,2.6132011819984347,289.7237977000914,12.560477932315068,7.923573799761079,8.818000990760995,7.194305873534827,4.232174109142238,5.69276759582268,3.3376394710932247,4.4902655518403005,2.145483427129826,2.610782391646651,1.2998573602225594,1.6293559045850203,-0.09,2366.8613144440656,13.972853551225644,4.649266578470129,2.9761851236270136,90.10023409294828,44.03859118531097,44.03859118531097,57.73888382420415,13.825658400443196,162.57,1.0,16,9,9,10,4,-4.366799999999997,42.48070000000001
hdcea,MNXM1107900,10.180408073938088,-0.9157348755986748,10.180408073938088,0.2199035493827159,0.3675765234218925,253.4059999999999,224.17399999999995,253.21730374791,106,0.0413836168602684,-0.5501718609055201,0.5501718609055201,0.0413836168602684,0.8333333333333334,1.3333333333333333,1.8888888888888888,16.365129697974297,10.085438315094288,1.905444149105301,-2.0107774227481694,2.080391199873818,-2.2087104307584,5.63496529934722,-0.3053408799831526,3.0558487808734096,209.1425000045842,13.476845205801297,11.956478493545552,11.956478493545552,8.770055610029663,7.618738376504744,7.618738376504744,4.999190382654993,4.999190382654993,3.142702521585705,3.142702521585705,1.986524003869798,1.986524003869798,-0.79,8372.602988287019,17.21,14.271690314620606,15.21,112.47953556383423,9.901064578912528,9.901064578912528,5.969305287951849,4.794537184071822,40.13,0.8125,18,2,2,2,13,3.9936000000000025,75.22500000000005
no,MNXM1107902,7.25,5.75,7.25,5.75,0.355295894594361,30.006,30.006,29.99798862,11,0.1199147381348122,-0.1199147381348122,0.1199147381348122,0.1199147381348122,1.5,1.5,1.5,16.224481068211865,13.781518931788131,0.7172025825538697,-0.7172025825538697,0.5288293607615775,-0.9759293607615775,3.688621660553684,1.8123783394463169,2.0,2.0,2.0,0.855461885963821,0.855461885963821,1.0,0.1825741858350553,0.1825741858350553,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,2.0,1.6000000000000003,0.5999999999999998,-4.899999999999997,11.859069411068091,0.0,0.0,0.0,0.0,39.370000000000005,0.0,2,2,1,2,0,-0.4471,5.501
mmcoa__S,MNXM1107904,12.60839322413456,-5.84072834485983,12.60839322413456,0.003386165358147,0.0257978554568421,862.5740000000009,827.2940000000007,862.0948706895502,310,0.4807077012465598,-0.8619479510336254,0.8619479510336254,0.4807077012465598,1.0909090909090908,1.7454545454545454,2.381818181818182,32.16658100669436,9.872606276411986,2.4824271432824685,-2.3425284471253693,2.6083523037637533,-2.4514794912798585,8.132760170714654,-0.3466570671283112,1.5486286688050095,1893.0428219565908,41.51793261119916,28.784542498747165,32.28432065267464,25.338460719760786,15.441188475290902,20.87827075164552,12.088611450445534,17.33696763659389,7.327789984129652,11.435842473925616,4.390397119383938,7.930427517267031,-2.970000000000002,207597120180.303,46.41250697295999,18.981964244370893,13.584006987431064,314.4255064709937,79.44495591216196,91.00923841671012,118.87098201126312,45.90295503149672,422.06000000000006,0.64,55,26,25,30,21,-4.928099999999995,175.41609999999972
o2s,MNXM1107906,7.0,0.0,7.0,0.0,0.2445946506132427,33.006,31.998,32.997654272,13,1.0,-0.6925626848766283,1.0,0.6925626848766283,2.0,2.0,2.0,16.999000125070342,1.007999874929649,1.0000041222494995,-1.518371446082831,0.4802708936401125,-1.7880658393661637,1.4005270796000564,-0.7140203652457935,0.0,2.754887502163468,2.0,1.8164965809277265,0.8164965809277261,1.0,0.1666666666666667,0.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,-0.08,2.0,1.9199999999999997,0.9200000000000016,-14.580000000000016,13.376870103058804,10.514470788593536,11.94110885329316,0.0,5.257235394296768,42.96,0.0,2,2,1,2,0,-1.1953,1.7985000000000002
dhpmp,MNXM1107940,11.609855723931751,-4.778361774164143,11.609855723931751,0.042275447215923,0.2787960022950509,334.20500000000004,321.101,334.05580796591,122,0.4691707202695673,-0.8569338738186407,0.8569338738186407,0.4691707202695673,1.4545454545454546,2.136363636363636,2.772727272727273,31.20446186316179,10.085577559501678,2.275026579327075,-2.251632752351232,2.357945667411704,-2.4095191036809163,7.458302509555253,-0.2736943956694943,2.170406283484917,698.086038564988,16.491199352633217,10.924154140643644,11.81858133164356,10.170522414859878,5.906136161569651,7.4364329049098705,4.369391838397738,5.608744629587048,2.71716657077902,3.202587132293801,1.7180937073393814,2.0650180658667865,-1.82,53643.90808422639,16.548798044728354,6.121590594546446,3.881695168323215,122.4544388335388,35.40717251498061,34.19520083667021,61.03909118577357,9.088795446643148,207.2,0.4444444444444444,22,12,9,13,5,-2.708129999999999,69.48279999999998
adphep_DD,MNXM1107947,12.196968340874088,-5.967427791594643,12.196968340874088,0.0160198128844515,0.1150272367201547,617.3540000000003,592.1540000000005,617.0782501398197,226,0.2763111139695292,-0.7558706197995284,0.7558706197995284,0.2763111139695292,1.0,1.7,2.375,31.270371905793663,9.955870393723366,2.484961922698133,-2.429732708073219,2.5665055931284337,-2.612102283005001,7.593082208536463,-0.3126263849273652,1.3808987645415531,1285.6697244840454,29.568185142893327,19.907778417512453,21.696632799512287,18.65350342298952,11.25046104967756,14.17164802303845,8.697285640675968,11.608354687843027,6.001168299110222,8.532448573846631,3.992817896396641,6.073511013599427,-1.7500000000000009,443836628.3718781,31.191487603305784,11.857579221487075,6.345800790708732,222.71372853064344,65.26365551586397,77.49446313989986,123.6002487348654,31.961948170509977,337.64000000000004,0.7058823529411765,40,21,21,23,10,-5.824899999999992,118.768
gmhep1p,MNXM1107954,10.49327089632149,-5.254884534832453,10.49327089632149,0.8418426398337111,0.2765439752520809,289.153,275.04099999999994,289.03300685791004,108,0.2671866229862011,-0.7561964066415794,0.7561964066415794,0.2671866229862011,1.2777777777777777,1.8333333333333333,2.2777777777777777,31.204462928268075,9.955870429044376,2.471495232619197,-2.4188780545215454,2.365991336340989,-2.611776010136241,7.443068671412396,-0.3110639704367791,2.8351630850918266,317.348055866671,14.085421958697395,8.934696726679462,9.829123917679375,8.169721077060442,4.878767620827727,6.374212735838057,3.7647532701569824,4.912683324891467,2.409921450969964,2.8841173687653696,1.5138954808176774,1.950868581839263,-0.13,5599.338480263352,15.925959709009517,5.884825686924695,3.682354577630951,101.2594099595409,40.05632313350853,49.14511858015168,73.84278920954564,13.825658400443196,179.96999999999997,1.0,18,10,9,11,4,-4.375499999999996,50.68430000000003
hkndd,MNXM1107974,10.89038595993953,-1.502189862055933,10.89038595993953,0.1592195767195767,0.3369817799792742,214.173,204.093,214.04773804,82,0.3704288096786479,-0.5018278752110336,0.5018278752110336,0.3704288096786479,1.0,1.6,2.066666666666667,16.39626930986178,10.183413489706586,2.0225454090261143,-1.89719359818564,1.9411462714110173,-2.001815142663175,5.917964329604881,-0.1379088508180853,4.071019591216681,325.494270794478,11.844934982691242,7.712650027833437,7.712650027833437,6.930428110326542,3.984316545988572,3.984316545988572,2.576227784468118,2.576227784468118,1.3405954796536974,1.3405954796536974,0.6313376644985098,0.6313376644985098,-2.11,1294.1642877918782,12.89,6.35986970941144,6.999525549180541,85.14684943535325,15.319582184522115,29.703193736737585,33.04143770679075,14.383611552215466,111.9,0.2222222222222222,15,6,4,6,6,0.5029999999999997,49.3644
